filename; method; result; time;
lake-edhocspthy;--lemmadataauthenticationRtoI-DLeakSessionKey-DWeakestSignaturetamarin-prover; tamarin-prover;   data_authentication_R_to_I (all-traces): verified (3832 steps) ;20590
lake-edhocspthy;--lemmadataauthenticationRtoI-DWeakAEADtamarin-prover; tamarin-prover;   data_authentication_R_to_I (all-traces): verified (4589 steps) ;32784


lake-edhocspthy;--lemmahonestauthRInoninj-DLeakShare-DWeakestSignature-DLeakSessionKeytamarin-prover; tamarin-prover;   honestauthRI_non_inj (all-traces): verified (5340 steps) ;23476
lake-edhoc-Sig-DDHspthy;--lemmahonestauthRInoninj-DLeakSessionKeytamarin-prover; tamarin-prover;   honestauthRI_non_inj (all-traces): verified (7757 steps) ;50801

lake-edhoc-Sig-DDHspthy;--lemmanoreflectionattacksRI-DCredChecktamarin-prover; tamarin-prover;   no_reflection_attacks_RI (all-traces): verified (7757 steps) ;48278



lake-edhoc-Sig-DDHspthy;--lemmadataauthenticationItoR-DLeakSessionKeytamarin-prover; tamarin-prover;   data_authentication_I_to_R (all-traces): verified (12624 steps) ;66638

lake-edhocspthy;--lemmaauthIRunique-DNeutralCheck-DWeakestSignature-DLeakSessionKeytamarin-prover; tamarin-prover;   authIR_unique (all-traces): verified (36 steps) ;4979
lake-edhocspthy;--lemmaauthIRunique-DNeutralCheck-DWeakAEAD-DLeakSessionKeytamarin-prover; tamarin-prover;   authIR_unique (all-traces): verified (36 steps) ;6877

lake-edhocspthy;--lemmaauthRIunique-DNeutralCheck-DWeakestSignature-DLeakSessionKeytamarin-prover; tamarin-prover;   authRI_unique (all-traces): verified (36 steps) ;5411
lake-edhocspthy;--lemmaauthRIunique-DNeutralCheck-DWeakAEAD-DLeakSessionKeytamarin-prover; tamarin-prover;   authRI_unique (all-traces): verified (36 steps) ;6577

lake-edhocspthy;--lemmasecretR-DLeakSessionKeytamarin-prover; tamarin-prover;   secretR (all-traces): verified (1537 steps) ;5092
lake-edhocspthy;--lemmasecretI-DLeakSessionKeytamarin-prover; tamarin-prover;   secretI (all-traces): verified (2640 steps) ;8280
